"name"
"Christopher Lambert"
"John Landis"
"Fritz Lang"
"Heather Langenkamp"
"Ang Lee"
"Brandon Lee"
"Christopher Lee"
"Spike Lee"
"John Leguizamo"
"Jennifer Jason Leigh"
"Jack Lemmon"
"Robert Sean Leonard"
"Téa Leoni"
"Juliette Lewis"
"Jennifer Lien"
"Matthew Lillard"
"Bai Ling"
"Richard Linklater"
"Ray Liotta"
"Christopher Lloyd"
"Emily Lloyd"
"Amy Locane"
"Nia Long"
"Julia Louis-Dreyfus"
"Rob Lowe"
"Carey Lowell"
"Bela Lugosi"
"Andie MacDowell"
"Shirley MacLaine"
"Elle Macpherson"
"William H. Macy"
"Michael Madsen"
"Virginia Madsen"
"Lee Majors"
"John Malkovich"
"David Mamet"
"Michael Mann"
"Sophie Marceau"
"Vanessa Marcil"
"Julianna Margulies"
"Mary Stuart Masterson"
"Heather Matarazzo"
"Samantha Mathis"
"Walter Matthau"
"Mathilda May"
"Debi Mazar"
"Andrew McCarthy"
"Frances McDormand"
"Malcolm McDowell"
"Gates McFadden"
"Kelly McGillis"
"Rose McGowan"
"Robert Duncan McNeill"
"Steve McQueen"
"Colm Meaney"
"Dina Meyer"
"Russ Meyer"
"Bette Midler"
"Penelope Ann Miller"
"Sal Mineo"
"Carmen Miranda"
"Helen Mirren"
"Matthew Modine"
"Alfred Molina"
"Elizabeth Montgomery"
"Roger Moore"
"Kate Mulgrew"
"Dermot Mulroney"
"Eddie Murphy"
"Liam Neeson"
"Sam Neill"
"Judd Nelson"
"Olivia Newton-John"
"Brigitte Nielsen"
"Leslie Nielsen"
"Leonard Nimoy"
"Nick Nolte"
"Peter North"
"Jeremy Northam"
"Chris O'Donnell"
"Peter O'Toole"
"Lena Olin"
"Julia Ormond"
"Frank Oz"
"Gwyneth Paltrow"
"Alan Parker"
"Mary-Louise Parker"
"Sarah Jessica Parker"
"Dolly Parton"
"Jason Patric"
"Alexandra Paul"
"Sean Penn"
"George Peppard"
"Anthony Perkins"
"Ron Perlman"
"Luke Perry"
"Joseph L. Mankiewicz"
"Joe Pesci"
"Wolfgang Petersen"
"Amanda Peterson"
"Robert Picardo"
"Jada Pinkett Smith"
"Donald Pleasence"
"Martha Plimpton"
"Eve Plumb"
"Roman Polanski"
"Pete Postlethwaite"
"Kelly Preston"
"Jason Priestley"
"Victoria Principal"
"Jonathan Pryce"
"Bill Pullman"
"Dennis Quaid"
"Kathleen Quinlan"
"Sam Raimi"
"Harold Ramis"
"Robert Redford"
"Vanessa Redgrave"
"John C. Reilly"
"Brad Renfro"
"Jean Reno"
"Paul Reubens"
"Burt Reynolds"
"Ving Rhames"
"Giovanni Ribisi"
"Ariana Richards"
"Denise Richards"
"Joely Richardson"
"Alan Rickman"
"John Ritter"
"Eric Roberts"
"Tanya Roberts"
"Isabella Rossellini"
"Tim Roth"
"Mickey Rourke"
"Kurt Russell"
"Theresa Russell"
"Rene Russo"
"Laura San Giacomo"
"Fred Savage"
"John Sayles"
"Greta Scacchi"
"Johnathon Schaech"
"Claudia Schiffer"
"Liev Schreiber"
"Ridley Scott"
"Jerry Seinfeld"
"Tom Selleck"
"Peter Sellers"
"Tupac Shakur"
"William Shatner"
"Ally Sheedy"
"Martin Sheen"
"Gary Sinise"
"Marina Sirtis"
"Tom Skerritt"
"Helen Slater"
"Anna Nicole Smith"
"Jaclyn Smith"
"Alan Smithee"
"Wesley Snipes"
"Paul Sorvino"
"Talisa Soto"
"Sissy Spacek"
"James Spader"
"Brent Spiner"
"Terence Stamp"
"Eric Stoltz"
"Madeleine Stowe"
"David Strathairn"
"Meryl Streep"
"Barbra Streisand"
"Tami Stronach"
"Donald Sutherland"
"Kiefer Sutherland"
"Dominique Swain"
"Patrick Swayze"
"D.B. Sweeney"
"Lili Taylor"
"David Thewlis"
"Emma Thompson"
"Fred Thompson"
"Lea Thompson"
"Billy Bob Thornton"
"Meg Tilly"
"Marisa Tomei"
"Tamlyn Tomita"
"Jeanne Tripplehorn"
"Chris Tucker"
"Robin Tunney"
"Kathleen Turner"
"Deborah Kara Unger"
"Casper Van Dien"
